|r|English|French|Italian|German|Spanish|Korean|Japanese|
|MISSION17_TIP_KILL_HANZO|Do 20 Body cuts with the wrist blades, combi stick or disc. This will draw Hanzo in. Show him your skills!|Lacérez votre ennemi 20 fois avec vos lames de poignet ou le combi stick. Vous attirerez Hanzo ainsi. Faites-lui une démonstration de vos habiletés.|Esegui 20 tagli con le tue lame da polso o combi stick. In questo modo attirerai Hanzo. Fagli vedere chi sei!|Schlitze mit den Handgelenkklingen oder mit dem Combi-Stick 20 Körper auf. Das wird Hanzo beeindrucken. Zeige ihm dein Talent!|Haz 20 cortes del cuerpo con las hojas de la muñeca o el combi stick. Utiliza a Hanzo. ¡Enséñale tus habilidades!|20 손목 블레이드 바디 인하, 콤비 스틱 또는 디스크를 않습니다. 이것은 그에게 당신의 능력을 보여 인치 한조을 그릴 것입니다!|20手首のブレードとボディカット、コンビスティックまたはディスクを行う。これは、彼にあなたのスキルを表示インチ半蔵を描きます！|
|MISSION18_TIP_KILL_ISABELLE_AND_10_SNIPERS_NIGHT|Hunt down the sniper squad and finish off their leader, Isabelle. Use thermal vision to see the warmth of the prey|équipe de tireurs d'|Uccidi la squadra di cecchini e fai fuori anche il loro leader, Isabelle. Sfrutta la Visione termica per vedere il calore della preda.|Jage die Heckenschützen-Truppe und töte die Anführerin Isabelle. Nutze den Wärmesicht-Modus, um die Wärme der Beute zu sehen.|Caza a la escuadra de francotiradores y acaba con su líder, Isabelle. Utiliza la Visión Térmica para ver el calor de la presa.|저격 팀을 사냥하고 그들의 지도자, 이사벨을 마무리. 먹이의 온기를보고 열 비전을 사용|狙撃班を追い詰めると彼らのリーダー、イザベルを終える。獲物の暖かさを見るためにサーマルビジョンを使用して、|
|MISSION19_TIP_KILL_MOMBASA|Kill 30 soldiers of Mombasa's death squad before cornering him for the final kill.|escouade de la mort de Mombasa avant de l'|Uccidi 30 soldati della Squadra Mortale di Mombasa prima di incontrarlo per la sfida finale.|Töte 30 Soldaten von Mombasas Todesschwadron, ehe du ihn in die Ecke drängst und ihm ein Ende bereitest.|Mata a 30 soldados del escuadrón de la muerte de Mombasa antes de arrinconarlo para la muerte final.|최종 죽이기 위해 그를 모를 전에 몸바사의 죽음 대표팀의 30 병사를 죽이십시오.|最終キルのために彼をコーナリング前モンバサの死隊の30人の兵士を殺す。|
|MISSION2_TIP_HEAVY_ATTACK|Hold button A to perform a heavy and deadly blow to the humans|Maintenez votre doigt sur le bouton A pour porter un coup puissant et mortel aux humains.|Tieni premuto il tasto A per eseguire un colpo pesante e mortale per gli umani.|Halte Button A, um einen tödlichen schweren Angriff gegen die Menschen auszuführen.|Mantén pulsado el botón A para dar un golpe fuerte y mortal a los humanos.|이 인간에게 무거운 치명적인 타격을 수행하는 버튼을 누르고|人間に重いと致命的な打撃を実行するためにボタンを押したまま|
|MISSION2_TIP_HEAVY_ATTACK_BREAK_DEFENSE|Use a heavy attack to break your enemies' defense.|Portez un coup puissant pour briser la défense de vos ennemis.|Utilizza un attacco pesante per superare la difesa dei tuoi nemici.|Verwende eine starke Attacke, um die Abwehr deiner Feinde zu durchbrechen.|Realiza un ataque fuerte para romper la defensa de tus enemigos.|당신의 적의 방어를 깰 무거운 공격을 사용합니다.|あなたの敵の防御を破るために激しい攻撃を使用してください。|
|MISSION2_TIP_KILL_REST|Kill the remaining enemies!|Tuez les ennemis restants.|Uccidi i nemici restanti.|Töte die verbliebenen Feinde.|Mata a los enemigos que quedan.|남은 적을 죽여라!|残りの敵を殺す！|
|MISSION20_TIP_KILL_CUCHILLO|Use all the weapons in your arsenal.  After resisting the humans for 3 minutes Cuchillo will come into sight. Finish him off quickly|Utilisez toutes les armes dans votre arsenal. Après avoir résisté aux assauts des humains pendant 3 minutes, Cuchillo se montrera. Tuez-le rapidement.|Usa tutte le armi nel tua arsenale. Se resisterai per 3 minuti, Cuchillo si verrà a farti visita. Falli fuori in fretta|Verwende alle Waffen aus deinem Arsenal. Nachdem du den Menschen 3 Minuten lang Widerstand geleistet hast wird Cuchillo auftauchen. Töte ihn schnell|Usa todas las armas de tu arsenal. Después de resistir durante 3 minutos con cuchillo, entrará en la vista. Acaba con el rápidamente. |당신의 무기고에있는 모든 무기를 사용합니다. 3 분간 인간을 저항하면 Cuchillo 광경에 올 것이다. 그를 빨리 마​​무리|あなたの武器の中ですべての武器を使用してください。 3分間の人間に抵抗した後Cuchilloが見えて来る。すぐに彼を終える|
|MISSION21_TIP_KILL_NIKOLAI|Perform 10 stealth kills and Nikolai will emerge. Dispose of him with honor.|Tuez furtivement 10 humains et Nikolai se montrera. Tuez-le honorablement.|Uccidi velocemente 10 umani e Nikolai si farà vivo. Sbarazzatene con onore.|Mache 10 getarnte Tötungen und Nikolai wird erscheinen. Entledige dich seiner mit Würde.|Haz 10 muertes sigilosas y Nikolai aparecerá. Deshazte de el con honor.|10 스텔스 명을 수행하고 니콜라이가 나타날 것입니다. 명예와 그 폐기하십시오.|10ステルス殺害を実行し、ニコライが出てくる。名誉をもって彼を処分。|
|MISSION22_TIP_RESIST_5_WAVES|Resist 5 of their relentless attacks.|Résistez à 5 de leurs attaques.|Resisti a 5 dei loro attacchi implacabili|Halte 5 ihrer erbarmungslosen Angriffen Stand.|Resiste 5 de sus implacables ataques.|그들의 끊임없는 공격의 5 저항한다.|彼らの執拗な攻撃のレジスト5。|
|MISSION23_TIP_KILL_NOLAND|Collect 15 trophies. Taunt Noland out of his hiding place with your war scream!|Collectez 15 trophées. Attirez Noland hors de sa cachette avec votre cri de guerre!|Colleziona 15 trofei. Fai uscire Noland dal suo nascondiglio con un urlo di guerra!|Sammle 15 Trophäen. Bist du bereit, dich ihm zu stellen? Töte Noland.|Consigue 15 trofeos. Provoca a Noland fuera de su escondite con tu grito de guerra!|15 트로피를 수집합니다. 도발은 전쟁의 비명과 함께 그의 은신처에서 놀 랜드!|15トロフィーを集める。タウントは戦争悲鳴と彼の隠れ場所から出てノーランド！|
|MISSION24_TIP_SURVIVE_DOG_ATTACK|Survive the Hunting Dogs attack for 3 minutes|Résistez à l'attaque des chiens de chasse pendant 3 minutes|Sopravvivi all'attacco dei Cani da caccia per 3 minuti|Überlebe den Angriff der Jagdhunde 3 Minuten lang|Sobrevive el ataque de los perros cazadores durante 3 minutos.|3 분간 사냥 개 공격에서 살아남을|3分間狩猟犬の攻撃を生き残る|
|MISSION25_TIP_TAUNT_THE_TRACKER|Kill 20 flusher hounds to get the Tracker out in the open.|Tuez 20 Chiens Flusher pour libérer le Tracker|Uccidere 20 cani di attirare l'inseguitore|Töte 20 Flusher Hunde um den Tracker hinauszulocken|Mata a 20 sabuesos para llevar el seguidor al aire libre|열려있는 트래커를 얻기 위해 20 플러 사냥개를 죽이십시오.|オープンでトラッカーを出すために20フラッシャの猟犬を殺す。|
|MISSION26_TIP_SWITCH_TO_WHIP|Switch to the razor whip by pressing the melee weapon slot|Basculer vers le whip du rasoir en appuyant sur la fente d'arme de mêlée|Passare alla frusta rasoio premendo lo slot arma da mischia|Wechseln Sie zu dem Rasiermesser Peitsche, indem Sie die Nahkampfwaffe Slot|Passare alla frusta rasoio premendo lo slot arma da mischia|근접 무기 슬롯을 눌러 면도기 채찍으로 전환|近接武器スロットを押すことにより、かみそりの鞭に切り替え|
|MISSION26_TIP_WHIP_COMBO_CHOPPER|A + A + A + hold A = The Chopper spinning whip attack|A + A + A + maintenir A pour l'attaque du fouet rotatif|A + A + A + A premuto per l'attacco con la frusta vorticosa e tagliente|A + A + A + A halten: Die wirbelnde Fuchsschwanz-Peitschenattacke|A + A + A + A para el ataque giratorio del látigo|+ + + 누르고 A = 헬기가 회전 채찍 공격|+ A + A +ホールドA =チョッパーが回転ホイップ攻撃|
|MISSION26_TIP_WHIP_COMBO_GRAPPLE|Move + B for Grapple Jump, entangles the enemy in your whip to make them defenseless to your attack|Déplacement + B pour le saut d'attaque, emprisonnez votre ennemi avec le fouet pour le rendre sans défense.|Muoviti + B per effettuare il Salto che afferra, in modo da intrappolare il nemico con la tua frusta e renderlo impotente al tuo attacco. |Bewegung + B: Enterhaken-Sprung. Die Peitsche umschlingt deinen Gegner, so dass er deinem Angriff hilflos ausgeliefert ist|Mueve B+ para salto de lucha, enreda al enemigo en tu látigo para hacerle indefenso ante tu ataque.|점프 그래 플에 대한 이동 + B, 당신의 공격에 무방비 만들기 위해 채찍에 적을 얽히게|移動+ジャンプグラップルためのBは、あなたの攻撃に、それらを無防備にするためにあなたの鞭で敵を絡みつく|
|MISSION26_TIP_WHIP_COMBO_SPLICE|Hold A = heavy whip attack|Maintenir A = forte attaque de fouet|A premuto = Pesante attacco con la frusta|A halten: schwere Peitschenattacke|Mantener A = ataque fuerte de látigo|A = 무거운 채찍 공격을 개최|=重い鞭攻撃をホールド|
|MISSION26_TIP_WHIP_KILL|Kill 30 enemies with the whip|Tuez 30 ennemis avec le fouet|Uccidi 30 nemici con la frusta|Töte 30 Feinde mit der Peitsche|Mata 30 enemigos con el látigo|채찍으로 30 명의 적을 킬하십시오|鞭で30人の敵を殺す|
|MISSION27_TIP_FALCONS|Kill the Falconer Predator.|Tuez le Prédateur fauconnier|Uccidi il Falconer Predator.|Töte den Falconer-Predator|Mata al Predator Falconer|팔 코너 프레데터를 죽이십시오.|ファルコナープレデターを殺す。|
|MISSION28_TIP_TUSKS_AND_TALONS|Collect the heads the Falconer and Tracker Predators|Collectez les têtes du Fauconnier et Maître-chien|Raccogli le teste dei Predator Falconer e Tracker|Sammle die Köpfe von Falkner- und Fährtenleser-Predator|Recoge las cabezas del Halcón y el rastreador Predators|헤드에게 팔 및 트래커 프레데터를 수집|頭のファルコナーとトラッカープレデターを収集|
|MISSION29_TIP_DIV_AND_CONQUER|Take 15 trophies without getting detected.|Prenez 15 trophés sans être détectés.|Conquista 15 trofei senza farti prendere.|Sammle 15 Trophäen ohne entdeckt zu werden.|Coge 15 trofeos sin ser detectado|감지받지 않고 15 트로피를 가져 가라.|検出されることなく15のトロフィーを取る。|
|MISSION3_TIP_HONOR_POINTS|Killing enemies provides honor points. Use the points to upgrade your gear.|Tuer vos ennemis vous rapporte des points d'honneur. Utilisez ces points pour améliorer votre équipement.|Uccidere i nemici per ottenere punti d'onore. Utilizza i punti per potenziare la tua attrezzatura.|Das Töten von Feinden bringt dir Ehrenpunkte. Nutze diese Punkte, um deine Ausrüstung zu verbessern.|Matar enemigos proporciona puntos de honor. Utiliza los puntos para actualizar tu equipo.|적을 죽이는 것은 명예 점수를 제공합니다. 장비를 업그레이드 포인트를 사용합니다.|敵を殺すことは名誉ポイントを提供します。あなたのギアをアップグレードするためのポイントを使用してください。|
|MISSION3_TIP_KILL_15|Kill 15 enemies|Tuez 15 ennemis.|Uccidi 15 nemici|Töte 15 Feinde.|Mata 15 enemigos|15 명의 적을 킬하십시오|15の敵を殺す|
|MISSION3_TIP_SPIN_COMBO|A + A + A + hold A = whirlwind of death|A + A + A + A maintenu = tourbillon de mort.|A + A + A + A premuta = spirale della morte|A + A + A + halte A = Wirbelwind des Todes|A + A + A + mantén A = torbellino de muerte|+ + + 보유 죽음의 = 회오리 바람|+ A + A +死=旋風を保持|
|MISSION30_TIP_CLAN_LEADER|Keep our leader alive for 3 minutes|Gardez le chef de clan vivant pendant 3 minutes|Mantieni vivo il nostro leader per 3 minuti|Halte unseren Anführer 3 Minuten lang am Leben|Manten a nuestro líder vivo durante 3 minutos.|3 분간 우리의 지도자 살려|3分間我々のリーダーは生き続ける|
|MISSION31_TIP_BERSERKER|Kill the Black Super Predator.|Tuez le Prédateur Super Black|Uccidi il Super Predator Nero.|Töte den schwarzen Super-Predator|Mata al Súper Predator Negro|블랙 슈퍼 프레데터를 죽이십시오.|ブラックスーパープレデターを殺す。|
|MISSION4_TIP_BLOCK_BUTTON|Use button B, when not moving, to block.|Utilisez le bouton B lorsque vous êtes immobile pour bloquer.|Utilizza il tasto B, quando non in movimento, per bloccare.|Verwende die Taste B, während du dich nicht bewegst, um zu blocken.|Utiliza el botón B, cuando no estés en movimiento, para bloquear|버튼 B를 사용하여 이동하지 않는 경우, 차단.|ブロックするために、動いていないときは、Bボタンを使用してください。|
|MISSION4_TIP_DASH_COMBOS|You can link Dash Jumps with Light and heavy attacks to perform combo moves.|Vous pouvez enchaîner l'attaque sautée avec des attaques légères et puissantes pour faire des combos.|Puoi collegare i Salti Rapidi con degli attacchi leggeri e pesanti per eseguire delle mosse multiple.|Du kannst Angriffssprünge mit leichten oder starken Angriffen zu Combos verbinden.|Puedes enlazar Saltos de Choque y ataques fuertes para realizar movimientos combinados.|당신은 콤보 동작을 수행하기 위해 빛과 무거운 공격과 대쉬 점프를 연결할 수 있습니다.|あなたは、コンボの動きを実行するために光と重い攻撃にダッシュジャンプをリンクすることができます。|
|MISSION4_TIP_DASH_JUMP|When running, by pressing button B you can perform a dash jump that scissors your way into the flesh of your foe.|Quand vous courez, touchez le bouton de blocage pour sauter sur votre ennemi et le lacérer.|Quando corri, premendo il pulsante blocco, puoi eseguire un salto rapido che ti permette di insinuarti nelle carni del tuo nemico.|Drücke die Blockieren-Taste während du läufst, um einen Angriffssprung auszuführen, mit dem du dir deinen Weg ins Fleisch deines Feindes schneidest.|Cuando corras, al pulsar el botón de bloqueo puedes realizar un salto de choque que te abre camino hacia la carne de tu enemigo.|실행할 때 B 버튼을 누르면 당신은 당신의 원수의 살에 대시 점프하는 가위 방법을 수행 할 수 있습니다.|実行する場合は、ボタンBを押すことで、そのあなたの敵の肉にはさみ、あなたの道をダッシュ​​ジャンプを行うことができます。|
|MISSION4_TIP_KILL_15|Kill 20 enemies|Tuez 20 ennemis.|Uccidi 20 nemici|Töte 20 Feinde.|Mata 20 enemigos|20 명의 적을 킬|20敵を殺す|
|MISSION5_TIP_BODY_SLICE|Grab + B + B = Body Slice|Empaler + B + B = Coupure au corps|Impala + B + B = Affetta|Aufspießen + B + B = Körper-Spleißung|Empalar + B + B = Juntar Cuerpo|+ B + B = 본체 슬라이스를 잡아|+ B + B =ボディスライスをつかむ|
|MISSION5_TIP_IMPALE_ENEMY|Perform A + B or Dash Jump + B to impale an enemy in your wrist.|Touchez A + B ou faites une attaque sautée + B pour empaler un ennemi sur votre lame de poignet.|Premi A+B o Salto Veloce + B per trafiggere il nemico con un colpo.|Drücke A + B oder Angriffssprung + B, um einen Feind an deinem Handgelenk aufzuspießen.|Realiza  A + B o Dash Jump + B para empalar a un enemigo en tu muñeca.|당신의 손목에 적을 찌르하는 A + B 또는 대시 점프 + B를 수행합니다.|手首で敵を突き刺すための+ Bまたはダッシュジャンプ+ Bを実行します。|
|MISSION5_TIP_KILL_10|Kill 15 enemies|Tuez 15 ennemis.|Uccidi 15 nemici|Töte 15 Feinde.|Mata 15 enemigos|15 명의 적을 킬하십시오|15の敵を殺す|
|MISSION6_TIP_COLLECT_4_MORE_TROPHIES|Collect 4 more trophies|Rapportez 4 autres trophées|Raccogli altri 4 trofei|Sammle 4 weitere Trophäen|Reúne 4 trofeos más|더 많은 트로피를 수집|4多くのトロフィーを集める|
|MISSION6_TIP_TROPHY_KILL|Harvest the head of your foe for greater honor.\n\nGrab + A + A + A = Trophy Kill|Prenez la tête de votre ennemi pour gagner plus de points d'honneur. Pour prendre la tête d'une proie : Attraper + A + A + A.|Raccogli la testa del tuo nemico per l'onore più grande. Afferra + A + A + A = Uccisioni da trofeo|Sammle die Köpfe deiner Feinde für noch mehr Ehre. Sammle die  Trophäe, indem du Greifen + A + A + A drückst.|Planta la cabeza de tu enemigo para mayor gloria. Recoge un trofeo así: Grab + A + A + A|큰 명예를 위해 원수의 머리를 수확. \ n \ nGrab + + + = 트로피 킬|大きい名誉のためにあなたの敵の頭を収穫。\ N \ nGrab + A + A + A =トロフィーキル|
|MISSION7_TIP_SURVIVE_5_MIN|Use all your skills to survive for 3 minutes|Utilisez vos compétences pour survivre pendant 3 minutes.|Utilizza le tue doti per sopravvivere 3 minuti.|Nutze all deine Fähigkeiten, um 3 Minuten zu überleben.|Utiliza todas tus habilidades para sobrevivir 3 minutos.|3 분간 생존을 위해 모든 기술을 사용|3分間生き残るためにすべてのあなたのスキルを使用してください|
|MISSION7_TIP_WATCH_FOR_SNIPERS|Watch out for snipers. Avoid their crosshair.|Attention aux tireurs d'élite. Évitez leur réticule de visée.|Attento ai cecchini. Evita il loro raggio d'azione.|Achte auf Scharfschützen. Laufe ihnen nicht ins.|Ten cuidado con los francotiradores. Evita su punto de mira.|저격수를 조심. 자신의 십자선을 피하십시오.|狙撃手に気をつけろ。彼らの十字線を避けてください。|
|MISSION8_TIP_CLOAK|The stealth generator makes you almost totally invisible. However if you stray too close to the humans, they will be able to sense your presence.|Le générateur de camouflage vous rend presque invisible, mais si vous vous approchez trop près des humains ils finiront par sentir votre présence.|Il generatore di invisibilità ti rende quasi completamente invisibile. Tuttavia, se rimarrai troppo vicino agli umani, loro saranno in grado di avvertire la tua presenza. |Der Tarngenerator macht dich fast komplett unsichtbar. Doch wenn du dich den Menschen zu sehr näherst, können sie deine Anwesenheit spüren.|El generador de cautela te hace casi totalmente invisible. Sin embargo, si acechas a los humanos demasiado cerca, podrán sentir tu presencia.|스텔스 생성기는 거의 완전히 보이지 않는 수 있습니다. 당신도 인간에게 가까이 벗어나지 경우 그러나, 그들은 당신의 존재를 감지 할 수있을 것입니다.|ステルス·ジェネレータを使用すると、ほぼ完全に見えなくなります。あなたも人間に近い浮遊しかし場合、彼らはあなたの存在を感知することができるようになります。|
|MISSION8_TIP_CLOAK_DETERRENT|High humidity like rain, streams and ponds also disables your cloaking ability.|Les environnements humides, la pluie, les rivières et les étangs peuvent désactiver votre générateur de camouflage.|L'alta umidità, la pioggia, i fiumi e i laghetti possono disabilitare la tua abilità di nasconderti.|Hohe Luftfeuchtigkeit durch Regen, Wasserläufe und Teiche kann deine Tarnung auffliegen lassen|La humedad elevada como la lluvia, las corrientes y los estanques pueden desactivar tu habilidad de camuflaje.|비, 하천과 연못 같은 높은 습도 또한 클로킹 기능을 사용할 수 없습니다.|雨、小川や池のような高湿度にもあなたのクローキング能力を無効にします。|
|MISSION8_TIP_CLOAK_TOGGLE|Press C to toggle the cloak.|Touchez le bouton C pour activer le générateur.|Premi C per attivare il mantello.|Drücke zum Verwenden des Mantels C.|Presiona C para alternar la capa.|망토를 전환하려면 C를 누릅니다.|マントを切り替えるには、Cを押します。|
|MISSION8_TIP_ENERGY|Your energy cells fuel all of your ranged weapons and capabilities like cloaking and thermal vision. Use it wisely for it runs out quickly.|énergie alimentent toutes vos armes à distance et vos habiletés comme votre générateur de camouflage et votre vision thermique. Ils s'|Le tue cellule energetiche sono il combustibile per le armi e abilità speciali come l'invisibilità e la visione termica. Usale con cautela o le esaurirai in fretta.| Deine Energiezellen betreiben deine gesamten Waffen und Fähigkeiten, wie Tarnung und Wärmesicht. Verwende sie klug, weil sie sich schnell entladen.|Las células de energía aprovisionan de combustible a todas tus armas de alcance y capacidades como camuflaje y visión térmica. Se ejecute rápidamente|당신의 에너지 세포는 클로킹 및 온도의 비전처럼 원거리 무기와 모든 기능을 연료. 그것은 빨리 실행을 위해 현명하게 사용합니다.|あなたのエネルギー細胞がクローキングとサーマルビジョンのようなあなたであった武器や能力のすべてを煽る。それはすぐになくなるために賢明にそれを使用しています。|
|MISSION8_TIP_ENERGY_VITAL_FOR_STUFF_TO_WORK|Energy regenerates if you're not using any ranged weapons or abilities|armes à distances ou d'|Le energie si rigenerano se non usi armi o abilità per un po' di tempo.|Die Energie regeneriert sich, wenn du keine Waffen oder besondere Fähigkeiten einsetzt.|La energía se regenera si no estás usando ningún arma a distancia o habilidad|당신은 어떤 원거리 무기 또는 능력을 사용하지 않는 경우, 에너지 회생|何かあった武器や能力を使用していない場合、エネルギーが再生成|
|MISSION8_TIP_KILL_10_NOT_DETECTED|Do 5 stealth kills without getting detected.|5 morts furtives sans être détecté.|Esegui 5 omicidi nascosti senza farti scoprire|Übe 5 heimliche Angriffe aus, ohne entdeckt zu werden.|Realiza 5 matanzas furtivas sin que te detecten.|감지받지 않고 5 스텔스 킬을 수행합니다.|5ステルスは、検出されたことなく殺すようにしてください。|
|MISSION8_TIP_PLASMA_TOGGLE|Switch to plasma cannon by pressing the ranged weapon icon.|Activez le canon à plasma en touchant l'icône d'arme à distance.|Usa il cannone al plasma premendo sull'icona dell'arma a lungo raggio.|Wechsel zur Plasmakanone, indem du auf das Waffensymbol drückst.|Cambia a cañón de plasma presionando el icono de arma de alcance.|원거리 무기 아이콘을 눌러 플라즈마 대포로 전환합니다.|遠隔武器のアイコンを押すことで、プラズマ砲に切り替えます。|
|MISSION8_TIP_STEALTH_KILL|When not detected, you can perform stealth kills for extra honor points.|avez pas été détecté, vous pouvez tuer furtivement pour gagner plus de points d'|Quando non verrai scoperto, potrai eseguire degli omicidi-nascosti ottenendo dei punti d'onore extra.|Wenn du unentdeckt bleibst, kannst du sie unsichtbar töten um extra Ehrenpunkte zu erhalten.|Cuando no te detectan, puedes realizar matanzas de manera furtiva para obtener puntos de honor extras.|감지하지 않을 경우, 당신은 여분 명예 포인트를 스텔스 명을 수행 할 수 있습니다.|検出されないときは、余分な名誉ポイントのステルス殺害を実行することができます。|
|MISSION9_TIP_HUNT_SPREE_15|Feast yourself on a free hunting spree. Kill 15 of them with the Plasma Gun.|La chasse est ouverte. Tuez 15 ennemis avec le canon à plasma.|Goditi una battuta di caccia libera. Uccidi 15 nemici con il cannone al plasma.|Viel Spaß bei einem freien Jagdgelage. Töte 15 Feinde mit dem Plasmakanone.|Festival de caza libre. Mata 15 enemigos con el arma de plasma.|무료 사냥 행위에 잔치 자신을. 플라즈마 건으로 그 중 15 킬하십시오.|自由狩りまくるにごちそうを自分で。プラズマガンでそれらの15を殺す。|
|MISSION9_TIP_PLASMA_UNLOCKED|Plasma cannon unlocked. Kill your prey from a distance|Canon à plasma déverrouillé.|Cannone al plasma sbloccato.|Plasmakanone freigeschaltet.|Cañón de Plasma desbloqueado.|플라즈마 대포 열었다. 거리에서 먹이를 죽일|プラズマ砲がアンロック。遠くからあなたの獲物を殺す|
|MISSION9_TIP_PLASMA_USE|The plasma gun autolocks on target. When the target is locked, press A to shoot.|Le canon à plasma se verrouille automatiquement sur une cible. Touchez le bouton A pour tirer quand une cible est verrouillée.|Il cannone al plasma si blocca automaticamente all'obiettivo. Quando l'obiettivo viene bloccato, premi A per sparare. |Die Plasmakanone visiert ein Ziel automatisch an. Wenn das Ziel erfasst ist, drücke A zum Schießen.|El arma de plasma se bloquea automáticamente en el blanco. Cuando el blanco está bloqueado, presiona A para disparar.|플라즈마 건은 대상에서 autolocks. 대상이 잠겨있을 때, 촬영을 누릅니다.|プラズマガンは、ターゲット上でautolocks。ターゲットがロックされると、撮影するを押してください。|
|MISSION9_TIP_SWITCH_TO_PLASMA|Switch to plasma cannon by pressing the ranged weapon icon|Activez le canon à plasma en touchant l'icône d'arme à distance|Usa il cannone al plasma premendo sull'icona dell'arma a lungo raggio|Wechsel zur Plasmakanone, indem du auf das Waffensymbol drückst.|Cambia a cañón de plasma presionando el icono de arma de alcance|원거리 무기 아이콘을 눌러 플라즈마 대포로 전환|遠隔武器のアイコンを押すことで、プラズマ砲に切り替え|
|MOVEMENT_STICK|MOVEMENT STICK|DÉPLACEMENT|MOVIMENTO|BEWEGUNG JOYPAD|MOVIMIENTO|운동 STICK|MOVEMENTスティック|
|MUSIC|MUSIC :|MUSIQUE :|MUSICA :|MUSIK :|MÚSICA :|MUSIC :|MUSIC：|
|NET_GUN|NET GUN|LANCE FILET|PISTOLA LANCIARETE|NETZKANONE|ARMA DE RED|NET GUN|NET GUN|
|NET_GUN_DESCRIPTION|Disable the enemy by trapping them in the net, kill them before they break free.|ennemi en le piégeant dans votre filet, et tuez-le avant qu'|Rendi inerme il nemico intrappolandolo nella rete e uccidilo prima che possa liberarsi.|Mache deinen Feind bewegungsunfähig und töte ihn, bevor er sich aus dem Netz befreien kann.|Inhabilita al enemigo atrapándolo en la red, matándolo antes de que pueda liberarse.|그들은 자유 휴식 전에 그물을 포집하여 적을하지 않도록, 그들을 죽일.|彼らが自由になる前にネットでそれらをトラップして敵を無効に、それらを殺す。|
|NET_GUN_MULTILINE|NET\nGUN|LANCE\nFILET|PISTOLA\nLANCIARETE|NETZ-\nKANONE|ARMA\nDE RED|NET \ nGUN|NET \ nGUN|
|NEW_GAME|NEW GAME|NOUVEAU JEU|NUOVA\nPARTITA|NEUES SPIEL|NUEVO JUEGO|NEW GAME|NEW GAME|
|NEXT|NEXT|SUIVANT|PROSSIMO|WEITER|SIGUIENTE|다음|次|
|NO|NO|NON|NO|NEIN|NO|NO|NO|
|NOW|NOW!|MAINTENANT|ADESSO|JETZT|YA|NOW!|NOW！|
|OBJECTIVES_WORD|OBJECTIVES|OBJECTIFS|OBIETTIVI|ZIELE|OBJETIVOS|목적|目的|
|OFF|OFF|OFF|OFF|OFF|OFF|OFF|OFF|
|ON|ON|ON|ON|ON|ON|ON|ON|
|OPTIONS_WORD|OPTIONS|OPTIONS|OPZIONI|OPTIONEN|OPCIONES|옵션|OPTIONS|
|PAUSE_GAME|PAUSE GAME|INTERROMPRE PARTIE|METTI IN PAUSA|SPIEL PAUSIEREN|PAUSAR JUEGO|PAUSE 게임|PAUSEゲーム|
|PERFECT_SPLIT|PERFECT SPLIT|DECOUPE PARFAITE|SPLIT PERFETTO|PERFEKTE SPALTUNG|CORTE PERFECTO|PERFECT SPLIT|PERFECT SPLIT|
|PLASMA_GUN|PLASMA GUN|PISTOLET À PLASMA|PISTOLA AL PLASMA|PLASMA KANONE|ARMA DE PLASMA|PLASMA GUN|プラズマ銃|
|PLASMA_GUN_DESCRIPTION|This shoulder-mounted cannon rapid-fires explosive plasma bolts. Its heat-tracking targeting system lets it target enemies on every side.|Ce canon monté sur l'épaule tire des boules de plasma explosives. Son système de verrouillage thermique ne laisse aucune chance à votre proie.|Questo cannone da spalla spara dei colpi esplosivi al plasma. Il suo sistema di ricerca del calore ti permette di puntare i nemici da ogni parte.|Diese Schulterkanone verschießt explosive Plasma-Bolzen im Dauerfeuer. Ihr Wärmesuchendes-Zielerfassungssystem findet die Feinde auf jeder Seite.|Este cañón que se monta sobre el hombro y realiza rápidos disparos de explosivos de plasma. Su sistema de seguimiento por calor le permite alcanzar enemigos en cualquier dirección.|이 어깨에 장착 된 대포 폭발 플라즈마 볼트를 급속 - 발생합니다. 그 열 추적 대상 시스템은 모든 측면에 원수를 대상으로 할 수 있습니다.|この肩マウント大砲爆発プラズマボルトを迅速に、起動します。その熱追跡ターゲティングシステムは、すべての側に敵をターゲットにすることができます。|
|PLASMA_GUN_MULTILINE|PLASMA\nGUN|PISTOLET\nÀ PLASMA|PISTOLA\nAL PLASMA|PLASMA\nKANONE|ARMA\nDE PLASMA|PLASMA \ nGUN|プラズマ\ nGUN|
|PLAY|PLAY|JOUER|GIOCA|SPIELEN|JUGAR|재생|PLAY|
|PP|Privacy Policy|Charte de confidentialité|Politica sulla privacy|Datenschutzrichtlinie|Politica de privacidad|개인 정보 보호 정책|個人情報保護方針|
|PRICE|PRICE|PRIX|PREZ.|PREIS|PREC.|가격|PRICE|
